product_name,pack_size,category,price_per_unit,total_price
30-WC773,1000,SEED,16.0,16000.0
African eggplant BENUE F1,100,SEED,105.0,10500.0
African eggplant KAZINGA RZ F1,100,SEED,74.0,7400.0
African eggplant LIMPOPO RZ F3,100,SEED,74.0,7400.0
African hot pepper AFADJA RZ F7,100,SEED,208.0,20800.0
African hot pepper AFADJA RZ F7,500,SEED,208.0,104000.0
African hot pepper LENGAI RZ F2,100,SEED,208.0,20800.0
African hot pepper LENGAI RZ F3,500,SEED,208.0,104000.0
African Hot Pepper Loleza RZ,100,SEED,200.0,20000.0
African Hot Pepper Loleza RZ,500,SEED,200.0,100000.0
African Hot Pepper Mawenzili,100,SEED,231.0,23100.0
African Hot Pepper Mawenzili,1000,SEED,231.0,231000.0
Allegreto,1000,SEED,823.0,823000.0
Alpes,1000,SEED,533.0,533000.0
Aubergine BRIGITTE RZ F2,100,SEED,308.0,30800.0
Aubergine FANTASTIC RZ F3,100,SEED,249.0,24900.0
Baronesa,100,SEED,262.0,26200.0
Batavia lettuce INVICTA RZ,1000,SEED,25.0,25000.0
Batavia lettuce TOURBILLON RZ,1000,SEED,99.0,99000.0
Beetroot Zeppo,25000,SEED,83.0,2075000.0
Blanched celery KYLIAN RZ,1000,SEED,21.0,21000.0
Bravura,100,SEED,935.0,93500.0
Broccoli TAHOE RZ F3,1000,SEED,30.0,30000.0
Cauliflower CASPER RZ F1,1000,SEED,15.0,15000.0
Cauliflower MONEERA RZ F4,1000,SEED,15.0,15000.0
Cos lettuce MAXIMUS RZ,1000,SEED,48.0,48000.0
Cucumber LARINO RZ F1,100,SEED,1399.0,139900.0
Fennel BOELLI,1000,SEED,58.0,58000.0
Hot pepper HABIB RZ F1,100,SEED,236.0,23600.0
Hot pepper MEXTIZO RZ F3,500,SEED,188.0,94000.0
Hot pepper MEXTIZO RZ F4,100,SEED,188.0,18800.0
Iceberg lettuce Bruma RZ,1000,SEED,25.0,25000.0
Kohl Rabi Eder RZ F2,1000,SEED,49.0,49000.0
Kohl Rabi Ukza RZ F1,100,SEED,56.0,5600.0
Leaf lettuce CONCORDE RZ,1000,SEED,37.0,37000.0
Long cucumber BOLOGNA RZ F1,100,SEED,699.0,69900.0
Melon ALPES RZ F1,100,SEED,533.0,53300.0
Melon CARIBBEAN GOLD RZ F6,100,SEED,435.0,43500.0
Melon CARIBBEAN KING RZ F2,100,SEED,435.0,43500.0
Melon GLADIAL RZ F1,100,SEED,379.0,37900.0
Melon GLADIAL RZ F16,1000,SEED,379.0,379000.0
Melon GLADIAL RZ F17,500,SEED,379.0,189500.0
Morgan,100,SEED,344.0,34400.0
Oak leaf lettuce KRISTINE RZ,1000,SEED,32.0,32000.0
Oak leaf lettuce MONDAI RZ,1000,SEED,36.0,36000.0
PEATMOSS,45KG,PEAT,120000.0,120000.0
Red cabbage - redma,1000,SEED,41.0,41000.0
Slicer cucumber MYDAS RZ F1,100,SEED,308.0,30800.0
Slicer cucumber MYDAS RZ F1,500,SEED,308.0,154000.0
Sondela,1000,SEED,756.0,756000.0
Sweet pepper ILANGA RZ F9,100,SEED,313.0,31300.0
Sweet pepper MASSILIA RZ F6,100,SEED,681.0,68100.0
Sweet pepper PASARELLA RZ F8,100,SEED,313.0,31300.0
Sweet pepper RED JET RZ F8,500,SEED,313.0,156500.0
Sweet pepper RED JET RZ F9,100,SEED,313.0,31300.0
Sweet pepper Reggaeton,100,SEED,326.0,32600.0
Sweet pepper Snack Triora,100,SEED,2400.0,240000.0
Sweet pepper Snack Triyello,100,SEED,2400.0,240000.0
Swisschard charsano,10000,SEED,3.0,30000.0
Tomato Amburana,100,SEED,133.0,13300.0
Tomato FORTESA RZ F4,100,SEED,1088.0,108800.0
Tomato GAMHAR RZ F7,100,SEED,70.0,7000.0
Tomato GAMHAR RZ F7,1000,SEED,70.0,70000.0
Tomato GAMHAR RZ F7,500,SEED,70.0,35000.0
Tomato JARRAH RZ F2,1000,SEED,82.0,82000.0
Tomato JARRAH RZ F3,100,SEED,82.0,8200.0
Tomato PRIMARINO RZ F6,100,SEED,753.0,75300.0
Tomato UWEZO RZ F4,100,SEED,254.0,25400.0
Tomato VALOURO RZ F1,100,SEED,491.0,49100.0
Tropical Sunshine,100,SEED,1368.0,136800.0
White cabbage TOUGHMA RZ F3,1000,SEED,17.0,17000.0
White cabbage-Bluesma,1000,SEED,29.0,29000.0
White cabbage-Swingma,1000,SEED,29.0,29000.0
White cabbage-Twistma,100,SEED,16.0,1600.0
White cabbage-Twistma,1000,SEED,16.0,16000.0
Zarnadi,100000,SEED,6.0,600000.0
alaine,1000,SEED,94.0,94000.0
Alboreto,100000,SEED,6.0,600000.0
barlach,1000,SEED,152.0,152000.0
Bellaire,1000,SEED,82.0,82000.0
Boelli,1000,SEED,58.0,58000.0
Bottas,100000,SEED,6.0,600000.0
Calazina,100,SEED,378.0,37800.0
Codex,1000,SEED,152.0,152000.0
cook,1000,SEED,152.0,152000.0
Coulthard,100000,SEED,6.0,600000.0
Daywalt,100000,SEED,6.0,600000.0
Diapson,100,SEED,2817.0,281700.0
Exact,1000,SEED,145.0,145000.0
Excurcus,1000,SEED,152.0,152000.0
Floccus,5000,SEED,65.0,325000.0
Gibbard,5000,SEED,152.0,760000.0
Gimli,100,SEED,104.0,10400.0
Gourami,100,SEED,4658.0,465800.0
Hazleton,1000,SEED,31.0,31000.0
Hilbert,1000,SEED,152.0,152000.0
Jerada,100000,SEED,2.0,200000.0
kivu,100,SEED,2107.0,210700.0
Klee,1000,SEED,152.0,152000.0
Lavender,1000,SEED,239.0,239000.0
libero,10000,SEED,3.0,30000.0
Ligier,100000,SEED,6.0,600000.0
Litoral,100,SEED,1389.0,138900.0
Maggino,100,SEED,2597.0,259700.0
Matejko,2500,SEED,62.0,155000.0
Messina,100,SEED,2059.0,205900.0
Mondial,100000,SEED,4.0,400000.0
Mondial,25000,SEED,4.0,100000.0
Morelia,100000,SEED,2.0,200000.0
multistar,100,SEED,613.0,61300.0
Orange Tarta,100,SEED,1898.0,189800.0
Palermo river,100,SEED,2340.0,234000.0
Puntoverde,1000,SEED,220.0,220000.0
Rasbora,100,SEED,4658.0,465800.0
Red Tatin,100,SEED,1898.0,189800.0
Rincon,1000,SEED,60.0,60000.0
Rugantino,100,SEED,951.0,95100.0
Shinefit,100,SEED,1301.0,130100.0
Tejal,1000,SEED,26.0,26000.0
Tendita,1000,SEED,97.0,97000.0
tourbillion,1000,SEED,99.0,99000.0
Tralex,1000,SEED,145.0,145000.0
Trirosso,100,SEED,2400.0,240000.0
Ty 12 RZ,100,SEED,523.0,52300.0
Ukza,1000,SEED,56.0,56000.0
Webber,100000,SEED,6.0,600000.0
Yellow zuppa,100,SEED,1898.0,189800.0
Afadja,500,SEED,208.0,104000.0
amburana,100,SEED,133.0,13300.0
amburana,500,SEED,133.0,66500.0
benue,100,SEED,105.0,10500.0
Bologna,100,SEED,699.0,69900.0
Brigitte,100,SEED,308.0,30800.0
Caribbean Gold,100,SEED,435.0,43500.0
Caribbean king,100,SEED,435.0,43500.0
concorde,5000,SEED,37.0,185000.0
fantastic,100,SEED,249.0,24900.0
Gamhar,100,SEED,70.0,7000.0
Gladial,100,SEED,379.0,37900.0
Ilanga,100,SEED,313.0,31300.0
Jarrah,100,SEED,82.0,8200.0
Jarrah,1000,SEED,82.0,82000.0
Kazinga,100,SEED,74.0,7400.0
kristine,1000,SEED,32.0,32000.0
Limpopo,500,SEED,74.0,37000.0
Mawenzili,100,SEED,231.0,23100.0
Pasarella,100,SEED,313.0,31300.0
Primarino,100,SEED,753.0,75300.0
Reggaeton,100,SEED,326.0,32600.0
Shelter,100,SEED,262.0,26200.0
sondela,100,SEED,756.0,75600.0
Tacoma,1000,SEED,15.0,15000.0
Tahoe,1000,SEED,30.0,30000.0
Toughma,1000,SEED,17.0,17000.0
trambelinno,100,SEED,904.0,90400.0
twistma,1000,SEED,16.0,16000.0
Uwezo,100,SEED,254.0,25400.0
Zanardi,100000,SEED,6.0,600000.0
zeppo,2500,SEED,83.0,207500.0
