sku,product_name,category,pack_size,unit_price,reorder_level
PEAT-001-45KG,PEATMOSS,PEAT,45KG,120000,10
SEED-001-1000,30-WC773,SEED,1000,16000,10
SEED-002-500,Afadja,SEED,500,104000,10
SEED-003-100,African Hot Pepper Loleza RZ,SEED,100,20000,10
SEED-003-500,African Hot Pepper Loleza RZ,SEED,500,100000,10
SEED-004-100,African Hot Pepper Mawenzili,SEED,100,23100,10
SEED-004-1000,African Hot Pepper Mawenzili,SEED,1000,231000,10
SEED-005-100,African eggplant BENUE F1,SEED,100,10500,10
SEED-006-100,African eggplant KAZINGA RZ F1,SEED,100,7400,10
SEED-007-100,African eggplant LIMPOPO RZ F3,SEED,100,7400,10
SEED-008-100,African hot pepper AFADJA RZ F7,SEED,100,20800,10
SEED-008-500,African hot pepper AFADJA RZ F7,SEED,500,104000,10
SEED-009-100,African hot pepper LENGAI RZ F2,SEED,100,20800,10
SEED-010-500,African hot pepper LENGAI RZ F3,SEED,500,104000,10
SEED-011-100000,Alboreto,SEED,100000,600000,10
SEED-012-1000,Allegreto,SEED,1000,823000,10
SEED-013-1000,Alpes,SEED,1000,533000,10
SEED-014-100,Aubergine BRIGITTE RZ F2,SEED,100,30800,10
SEED-015-100,Aubergine FANTASTIC RZ F3,SEED,100,24900,10
SEED-016-100,Baronesa,SEED,100,26200,10
SEED-017-1000,Batavia lettuce INVICTA RZ,SEED,1000,25000,10
SEED-018-1000,Batavia lettuce TOURBILLON RZ,SEED,1000,99000,10
SEED-019-25000,Beetroot Zeppo,SEED,25000,2075000,10
SEED-020-1000,Bellaire,SEED,1000,82000,10
SEED-021-1000,Blanched celery KYLIAN RZ,SEED,1000,21000,10
SEED-022-1000,Boelli,SEED,1000,58000,10
SEED-023-100,Bologna,SEED,100,69900,10
SEED-024-100000,Bottas,SEED,100000,600000,10
SEED-025-100,Bravura,SEED,100,93500,10
SEED-026-100,Brigitte,SEED,100,30800,10
SEED-027-1000,Broccoli TAHOE RZ F3,SEED,1000,30000,10
SEED-028-100,Calazina,SEED,100,37800,10
SEED-029-100,Caribbean Gold,SEED,100,43500,10
SEED-030-100,Caribbean king,SEED,100,43500,10
SEED-031-1000,Cauliflower CASPER RZ F1,SEED,1000,15000,10
SEED-032-1000,Cauliflower MONEERA RZ F4,SEED,1000,15000,10
SEED-033-1000,Codex,SEED,1000,152000,10
SEED-034-1000,Cos lettuce MAXIMUS RZ,SEED,1000,48000,10
SEED-035-100000,Coulthard,SEED,100000,600000,10
SEED-036-100,Cucumber LARINO RZ F1,SEED,100,139900,10
SEED-037-100000,Daywalt,SEED,100000,600000,10
SEED-038-100,Diapson,SEED,100,281700,10
SEED-039-1000,Exact,SEED,1000,145000,10
SEED-040-1000,Excurcus,SEED,1000,152000,10
SEED-041-1000,Fennel BOELLI,SEED,1000,58000,10
SEED-042-5000,Floccus,SEED,5000,325000,10
SEED-043-100,Gamhar,SEED,100,7000,10
SEED-044-5000,Gibbard,SEED,5000,760000,10
SEED-045-100,Gimli,SEED,100,10400,10
SEED-046-100,Gladial,SEED,100,37900,10
SEED-047-100,Gourami,SEED,100,465800,10
SEED-048-1000,Hazleton,SEED,1000,31000,10
SEED-049-1000,Hilbert,SEED,1000,152000,10
SEED-050-100,Hot pepper HABIB RZ F1,SEED,100,23600,10
SEED-051-500,Hot pepper MEXTIZO RZ F3,SEED,500,94000,10
SEED-052-100,Hot pepper MEXTIZO RZ F4,SEED,100,18800,10
SEED-053-1000,Iceberg lettuce Bruma RZ,SEED,1000,25000,10
SEED-054-100,Ilanga,SEED,100,31300,10
SEED-055-100,Jarrah,SEED,100,8200,10
SEED-055-1000,Jarrah,SEED,1000,82000,10
SEED-056-100000,Jerada,SEED,100000,200000,10
SEED-057-100,Kazinga,SEED,100,7400,10
SEED-058-1000,Klee,SEED,1000,152000,10
SEED-059-1000,Kohl Rabi Eder RZ F2,SEED,1000,49000,10
SEED-060-100,Kohl Rabi Ukza RZ F1,SEED,100,5600,10
SEED-061-1000,Lavender,SEED,1000,239000,10
SEED-062-1000,Leaf lettuce CONCORDE RZ,SEED,1000,37000,10
SEED-063-100000,Ligier,SEED,100000,600000,10
SEED-064-500,Limpopo,SEED,500,37000,10
SEED-065-100,Litoral,SEED,100,138900,10
SEED-066-100,Long cucumber BOLOGNA RZ F1,SEED,100,69900,10
SEED-067-100,Maggino,SEED,100,259700,10
SEED-068-2500,Matejko,SEED,2500,155000,10
SEED-069-100,Mawenzili,SEED,100,23100,10
SEED-070-100,Melon ALPES RZ F1,SEED,100,53300,10
SEED-071-100,Melon CARIBBEAN GOLD RZ F6,SEED,100,43500,10
SEED-072-100,Melon CARIBBEAN KING RZ F2,SEED,100,43500,10
SEED-073-100,Melon GLADIAL RZ F1,SEED,100,37900,10
SEED-074-1000,Melon GLADIAL RZ F16,SEED,1000,379000,10
SEED-075-500,Melon GLADIAL RZ F17,SEED,500,189500,10
SEED-076-100,Messina,SEED,100,205900,10
SEED-077-100000,Mondial,SEED,100000,400000,10
